Title,Language,Link,Download
የመጽሐፍ ቅዱስ መዝገበ ቃላት - A Dictionary of the Holy Bible,amharic,https://en.z-lib.gs/book/1053818/53c4d5/%E1%8B%A8%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%8D-%E1%89%85%E1%8B%B1%E1%88%B5-%E1%88%98%E1%8B%9D%E1%8C%88%E1%89%A0-%E1%89%83%E1%88%8B%E1%89%B5-a-dictionary-of-the-holy-bible.html,https://en.z-lib.gs/dl/1053818/251e31
Church Growth Principles,swahili,https://en.z-lib.gs/book/16740533/fd6164/church-growth-principles.html,https://en.z-lib.gs/dl/16740533/61136a
150 stories (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5351114/c575d9/150-stories-afrikaans-edition.html,https://en.z-lib.gs/dl/5351114/0531a9
የኢትዮጵያ ታሪክ : ኑብያ-አክሱም ዛጕዬ እስከ ዐፄ ይኵኖ አምላክ ዘመነ መንግሥት,amharic,https://en.z-lib.gs/book/1217944/84e012/%E1%8B%A8%E1%8A%A2%E1%89%B5%E1%8B%AE%E1%8C%B5%E1%8B%AB-%E1%89%B3%E1%88%AA%E1%8A%AD-%E1%8A%91%E1%89%A5%E1%8B%AB%E1%8A%A0%E1%8A%AD%E1%88%B1%E1%88%9D-%E1%8B%9B%E1%8C%95%E1%8B%AC-%E1%8A%A5%E1%88%B5%E1%8A%A8-%E1%8B%90%E1%8D%84-%E1%8B%AD%E1%8A%B5%E1%8A%96-%E1%8A%A0%E1%88%9D%E1%88%8B%E1%8A%AD-%E1%8B%98%E1%88%98%E1%8A%90-%E1%88%98%E1%8A%95%E1%8C%8D%E1%88%A5%E1%89%B5.html,https://en.z-lib.gs/dl/1217944/5a3ef5
ዐፄ ምኒልክ እና የኢትዮጵያ አንድነት,amharic,https://en.z-lib.gs/book/1055276/19dcb5/%E1%8B%90%E1%8D%84-%E1%88%9D%E1%8A%92%E1%88%8D%E1%8A%AD-%E1%8A%A5%E1%8A%93-%E1%8B%A8%E1%8A%A2%E1%89%B5%E1%8B%AE%E1%8C%B5%E1%8B%AB-%E1%8A%A0%E1%8A%95%E1%8B%B5%E1%8A%90%E1%89%B5.html,https://en.z-lib.gs/dl/1055276/d52504
ዐፄ ዮሐንስ እና የኢትዮጵያ አንድነት,amharic,https://en.z-lib.gs/book/1055272/a646e7/%E1%8B%90%E1%8D%84-%E1%8B%AE%E1%88%90%E1%8A%95%E1%88%B5-%E1%8A%A5%E1%8A%93-%E1%8B%A8%E1%8A%A2%E1%89%B5%E1%8B%AE%E1%8C%B5%E1%8B%AB-%E1%8A%A0%E1%8A%95%E1%8B%B5%E1%8A%90%E1%89%B5.html,https://en.z-lib.gs/dl/1055272/a5683c
Die vrou in die blou mantel (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5683451/fd0dde/die-vrou-in-die-blou-mantel-afrikaans-edition.html,https://en.z-lib.gs/dl/5683451/dadd07
"ታሪክና ምሳሌ ፩ኛ መጽሐፍ - Stories and Parables, 1st book",amharic,https://en.z-lib.gs/book/1053824/5c8272/%E1%89%B3%E1%88%AA%E1%8A%AD%E1%8A%93-%E1%88%9D%E1%88%B3%E1%88%8C-%E1%8A%9B-%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%8D-stories-and-parables-1st-book.html,https://en.z-lib.gs/dl/1053824/461da8
"ታሪክና ምሳሌ ፪ኛ መጽሐፍ - Stories and Parables, 2nd book",amharic,https://en.z-lib.gs/book/1054377/1be134/%E1%89%B3%E1%88%AA%E1%8A%AD%E1%8A%93-%E1%88%9D%E1%88%B3%E1%88%8C-%E1%8A%9B-%E1%88%98%E1%8C%BD%E1%88%90%E1%8D%8D-stories-and-parables-2nd-book.html,https://en.z-lib.gs/dl/1054377/483c27
Spaghetti tussen jou tone (Afrikaans Edition),afrikaans,https://en.z-lib.gs/book/5659534/4afd5b/spaghetti-tussen-jou-tone-afrikaans-edition.html,https://en.z-lib.gs/dl/5659534/bb133c
"藏英汉对照拉萨语教程. A Lhasa Dialect Textbook In Tibetan, English, Chinese. བོད་དབྱིན་རྒྱ་གསུམ་ཤན་སྦྱར་གྱི་ལྟ་སའི་སྐད་སློབ་དེབ།",tigrinya,https://en.z-lib.gs/book/3265386/d36f00/%E8%97%8F%E8%8B%B1%E6%B1%89%E5%AF%B9%E7%85%A7%E6%8B%89%E8%90%A8%E8%AF%AD%E6%95%99%E7%A8%8B-a-lhasa-dialect-textbook-in-tibetan-english-chinese-%E0%BD%96-%E0%BD%91%E0%BD%91%E0%BD%96-%E0%BD%93%E0%BD%A2-%E0%BD%82%E0%BD%A6-%E0%BD%98%E0%BD%A4%E0%BD%93%E0%BD%A6-%E0%BD%A2%E0%BD%82-%E0%BD%A3-.html,https://en.z-lib.gs/dl/3265386/112a63
Liefde is wynrooi (Afrikaans Edition) (Romanza),afrikaans,https://en.z-lib.gs/book/5792027/07e213/liefde-is-wynrooi-afrikaans-edition-romanza.html,https://en.z-lib.gs/dl/5792027/2e8892
Wie met vuur speel,afrikaans,https://en.z-lib.gs/book/5351073/d3cc81/wie-met-vuur-speel.html,https://en.z-lib.gs/dl/5351073/04d8f4
Ewé O USO DAS PLANTAS NA SOCIEDADE IORUBÁ,yoruba,https://en.z-lib.gs/book/18411418/512591/ew%C3%A9-o-uso-das-plantas-na-sociedade-iorub%C3%81.html,https://en.z-lib.gs/dl/18411418/6cabeb
